DisorderID,OrphaCode,DisorderName,ExpertLink,TargetDisorderID,TargetOrphaCode,TargetName,RootDisorderID,RootCycle,AssociationTypeID,AssociationTypeName
61,480,Kearns-Sayre syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=480,10507,68367,Rare inborn errors of metabolism,61,true,21485,Preferential parent
68,593,Myofibrillar myopathy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=593,13024,98006,Rare neurologic disease,68,true,21485,Preferential parent
64,551,MERRF,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=551,13024,98006,Rare neurologic disease,64,true,21485,Preferential parent
65,597,Central core disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=597,13024,98006,Rare neurologic disease,65,true,21485,Preferential parent
66,607,Nemaline myopathy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=607,13024,98006,Rare neurologic disease,66,true,21485,Preferential parent
17538,163746,Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163746,13024,98006,Rare neurologic disease,17538,true,21485,Preferential parent
76,684,Paramyotonia congenita of Von Eulenburg,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=684,13024,98006,Rare neurologic disease,76,true,21485,Preferential parent
17549,163931,Acrodermatitis continua of Hallopeau,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163931,11896,89826,Rare skin disease,17549,true,21485,Preferential parent
77,273,Steinert myotonic dystrophy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=273,13024,98006,Rare neurologic disease,77,true,21485,Preferential parent
17548,163927,Pustulosis palmaris et plantaris,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163927,11896,89826,Rare skin disease,17548,true,21485,Preferential parent
17551,163937,"X-linked intellectual disability, Najm type",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163937,12469,93890,Rare developmental defect during embryogenesis,17551,true,21485,Preferential parent
17550,163934,Atopic keratoconjunctivitis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163934,12984,97966,Rare ophthalmic disorder,17550,true,21485,Preferential parent
75,614,Thomsen and Becker disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=614,13024,98006,Rare neurologic disease,75,true,21485,Preferential parent
17546,163921,Posttransplant acute limbic encephalitis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163921,13024,98006,Rare neurologic disease,17546,true,21485,Preferential parent
17556,163966,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163966,12333,93419,Rare bone disease,17556,true,21485,Preferential parent
17557,163971,"X-linked intellectual disability, Cilliers type",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163971,12469,93890,Rare developmental defect during embryogenesis,17557,true,21485,Preferential parent
17558,163976,"X-linked intellectual disability, Van Esch type",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163976,12469,93890,Rare developmental defect during embryogenesis,17558,true,21485,Preferential parent
17559,163979,X-linked intellectual disability-craniofacioskeletal syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163979,12469,93890,Rare developmental defect during embryogenesis,17559,true,21485,Preferential parent
17554,163956,"X-linked intellectual disability, Nascimento type",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163956,12469,93890,Rare developmental defect during embryogenesis,17554,true,21485,Preferential parent
17555,163961,X-linked cerebral-cerebellar-coloboma syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163961,12469,93890,Rare developmental defect during embryogenesis,17555,true,21485,Preferential parent
17564,164004,Middle and/or inner ear anomaly,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=164004,12469,93890,Rare developmental defect during embryogenesis,17564,true,21485,Preferential parent
17567,164726,Acute myeloid leukemia and myelodysplastic syndromes related to radiation,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=164726,19592,250908,Rare neoplastic disease,17567,true,21485,Preferential parent
94,324,Fabry disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324,10507,68367,Rare inborn errors of metabolism,94,true,21485,Preferential parent
17561,163985,Hyperekplexia-epilepsy syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163985,12469,93890,Rare developmental defect during embryogenesis,17561,true,21485,Preferential parent
91,778,Rett syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=778,13024,98006,Rare neurologic disease,91,true,21485,Preferential parent
17563,164001,Rare odontal or periodontal disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=164001,13044,98026,Rare odontologic disease,17563,true,21485,Preferential parent
