DisorderID,OrphaCode,ExpertLink,DisorderName,DisorderType,DisorderGroup,AgeOfOnsetIDs,AgeOfOnsetNames,InheritanceTypeIDs,InheritanceTypeNames
12637,95513,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=95513,Panhypophysitis,Disease,Disorder,23536|23543|23529|23550,Adolescent|Adult|Childhood|Elderly,,
12620,95496,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=95496,Pituitary stalk interruption syndrome,Morphological anomaly,Disorder,23529,Childhood,23410|23417|23494,Autosomal dominant|Autosomal recessive|Not applicable
12618,95494,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=95494,"Combined pituitary hormone deficiencies, genetic forms",Disease,Disorder,23522|23515,Infancy|Neonatal,23410|23417|23431,Autosomal dominant|Autosomal recessive|X-linked recessive
12592,95433,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=95433,Autosomal recessive spinocerebellar ataxia-blindness-deafness syndrome,Disease,Disorder,23529,Childhood,23417,Autosomal recessive
12593,95434,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=95434,Autosomal recessive cerebellar ataxia-movement disorder syndrome,Disease,Disorder,23543|23529|23550|23522,Adult|Childhood|Elderly|Infancy,23417,Autosomal recessive
12597,95455,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=95455,Stevens-Johnson syndrome/toxic epidermal necrolysis spectrum,Disease,Disorder,23557,All ages,23494,Not applicable
12600,95459,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=95459,Congenital tricuspid stenosis,Morphological anomaly,Disorder,23522|23515,Infancy|Neonatal,,
12578,95157,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=95157,Acute hepatic porphyria,Clinical group,Group of disorders,23557,All ages,23410|23417,Autosomal dominant|Autosomal recessive
12582,95232,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=95232,Lissencephaly due to LIS1 mutation,Disease,Disorder,23508|23522|23515,Antenatal|Infancy|Neonatal,23410,Autosomal dominant
12580,95159,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=95159,Hepatoerythropoietic porphyria,Disease,Disorder,23529,Childhood,23417,Autosomal recessive
