DisorderID,OrphaCode,ExpertLink,DisorderName,DisorderType,DisorderGroup,AgeOfOnsetIDs,AgeOfOnsetNames,InheritanceTypeIDs,InheritanceTypeNames
2619,2891,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2891,Pili torti-developmental delay-neurological abnormalities syndrome,Malformation syndrome,Disorder,23522,Infancy,,
2618,2889,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2889,Pili torti,Disease,Disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
2617,2890,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2890,Pili torti-onychodysplasia syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
20216,268865,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=268865,Neurenteric cyst,Morphological anomaly,Disorder,23522|23515,Infancy|Neonatal,,
2616,2888,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2888,Pierre Robin syndrome-faciodigital anomaly syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23431,X-linked recessive
20217,268868,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=268868,Isolated amyelia,Morphological anomaly,Disorder,23522|23515,Infancy|Neonatal,,
2598,2865,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2865,Short stature-webbed neck-heart disease syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23480,Unknown
2599,2866,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2866,Short stature-deafness-neutrophil dysfunction-dysmorphism syndrome,Malformation syndrome,Disorder,23508|23515,Antenatal|Neonatal,,
2596,2863,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2863,Short stature-wormian bones-dextrocardia syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,,
20193,268744,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=268744,Spinal dysraphism with a posterior meningocele,Clinical group,Group of disorders,23522|23515,Infancy|Neonatal,23424|23494,Multigenic/multifactorial|Not applicable
2606,2875,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2875,Phakomatosis pigmentovascularis,Disease,Disorder,23515,Neonatal,23494,Not applicable
20207,268823,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=268823,Occipital encephalocele,Clinical subtype,Subtype of disorder,,,23410,Autosomal dominant
2607,2876,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2876,PHAVER syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
20206,268820,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=268820,Cranial meningocele,Morphological anomaly,Disorder,23522|23515,Infancy|Neonatal,,
2605,2874,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2874,Phakomatosis pigmentokeratotica,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23480,Unknown
20204,268813,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=268813,Myelocystocele,Clinical group,Group of disorders,23522|23515,Infancy|Neonatal,23424|23494,Multigenic/multifactorial|Not applicable
20203,268810,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=268810,Isolated posterior meningocele,Morphological anomaly,Disorder,23522|23515,Infancy|Neonatal,23424|23494,Multigenic/multifactorial|Not applicable
2602,2871,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2871,Pfeiffer-Palm-Teller syndrome,Malformation syndrome,Disorder,23515,Neonatal,,
2603,2872,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2872,"Cardiocranial syndrome, Pfeiffer type",Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23410|23417|23494,Autosomal dominant|Autosomal recessive|Not applicable
2600,2867,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2867,"Short stature, Brussels type",Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23480,Unknown
2601,2868,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2868,Short stature-valvular heart disease-characteristic facies syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23410,Autosomal dominant
2581,2846,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2846,Congenital pericardium anomaly,Category,Group of disorders,23557,All ages,23494,Not applicable
2580,2842,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2842,Penoscrotal transposition,Morphological anomaly,Disorder,23522|23515,Infancy|Neonatal,23417|23494|23431,Autosomal recessive|Not applicable|X-linked recessive
2583,2848,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2848,Camptodactyly-arthropathy-coxa-vara-pericarditis syndrome,Disease,Disorder,23529|23522|23515,Childhood|Infancy|Neonatal,23417,Autosomal recessive
2582,2847,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2847,Pericardial and diaphragmatic defect,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23417|23494,Autosomal recessive|Not applicable
2577,2838,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2838,Renal caliceal diverticuli-deafness syndrome,Malformation syndrome,Disorder,23515,Neonatal,,
20176,268322,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=268322,Hereditary thrombocytopenia with normal platelets,Disease,Disorder,23557,All ages,23410|23417|23431,Autosomal dominant|Autosomal recessive|X-linked recessive
2579,2840,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2840,Pelvic dysplasia-arthrogryposis of lower limbs syndrome,Malformation syndrome,Disorder,23508|23515,Antenatal|Neonatal,,
2578,2839,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2839,Pelvis-shoulder dysplasia,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23410,Autosomal dominant
20179,268337,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=268337,Autosomal recessive intermediate Charcot-Marie-Tooth disease,Clinical group,Group of disorders,,,23417,Autosomal recessive
2589,2855,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2855,Perrault syndrome,Disease,Disorder,23536|23543|23529,Adolescent|Adult|Childhood,23417,Autosomal recessive
2588,2854,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2854,Fuhrmann syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
2590,708,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=708,Peters anomaly,Morphological anomaly,Disorder,23522|23515,Infancy|Neonatal,23410|23417,Autosomal dominant|Autosomal recessive
20184,268363,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=268363,Open iniencephaly,Clinical subtype,Subtype of disorder,23522|23515,Infancy|Neonatal,23424|23494,Multigenic/multifactorial|Not applicable
20185,268366,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=268366,Closed iniencephaly,Clinical subtype,Subtype of disorder,23522|23515,Infancy|Neonatal,23424|23494,Multigenic/multifactorial|Not applicable
2584,2850,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2850,Alopecia-intellectual disability syndrome,Disease,Disorder,23515,Neonatal,23417,Autosomal recessive
20186,268369,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=268369,Open spinal dysraphism,Clinical group,Group of disorders,23522|23515,Infancy|Neonatal,23424|23494,Multigenic/multifactorial|Not applicable
20165,268114,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=268114,RAS-associated autoimmune leukoproliferative disease,Disease,Disorder,23529|23522,Childhood|Infancy,23480,Unknown
2564,2825,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2825,PARC syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23410,Autosomal dominant
2565,2826,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2826,Spastic paraplegia-precocious puberty syndrome,Disease,Disorder,23529,Childhood,23410,Autosomal dominant
20167,268139,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=268139,Intraocular medulloepithelioma,Disease,Disorder,23529,Childhood,23494,Not applicable
20166,268129,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=268129,Spheroid body myopathy,Disease,Disorder,23557,All ages,23410,Autosomal dominant
2560,2819,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2819,Spastic paraplegia-facial-cutaneous lesions syndrome,Malformation syndrome,Disorder,23522,Infancy,,
2561,2820,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2820,Spastic paraplegia-nephritis-deafness syndrome,Clinical syndrome,Disorder,23564,No data available,23410,Autosomal dominant
2562,2821,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2821,Spastic paraplegia-neuropathy-poikiloderma syndrome,Disease,Disorder,23529,Childhood,,
2563,2822,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2822,Autosomal recessive spastic paraplegia type 11,Disease,Disorder,23536|23543|23529|23522,Adolescent|Adult|Childhood|Infancy,23417,Autosomal recessive
2572,2835,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2835,Pectus excavatum-macrocephaly-dysplastic nails syndrome,Malformation syndrome,Disorder,23515,Neonatal,23480,Unknown
20173,268261,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=268261,DYRK1A-related intellectual disability syndrome due to 21q22.13q22.2 microdeletion,Etiological subtype,Subtype of disorder,23522|23515,Infancy|Neonatal,23494|23480,Not applicable|Unknown
2573,2836,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2836,PEHO syndrome,Disease,Disorder,23522|23515,Infancy|Neonatal,23410|23417,Autosomal dominant|Autosomal recessive
20172,268249,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=268249,Mycophenolate mofetil embryopathy,Malformation syndrome,Disorder,23508|23522|23515,Antenatal|Infancy|Neonatal,23494,Not applicable
20175,268316,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=268316,Complication in hemodialysis,Particular clinical situation in a disease or syndrome,Disorder,23557,All ages,23494,Not applicable
20169,268162,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=268162,Intermediate maple syrup urine disease,Clinical subtype,Subtype of disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
2569,2832,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2832,Short tarsus-absence of lower eyelashes syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23410,Autosomal dominant
20168,268145,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=268145,Classic maple syrup urine disease,Clinical subtype,Subtype of disorder,23515,Neonatal,23417,Autosomal recessive
20171,268184,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=268184,Thiamine-responsive maple syrup urine disease,Clinical subtype,Subtype of disorder,23522,Infancy,23417,Autosomal recessive
2570,2833,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2833,Stiff skin syndrome,Disease,Disorder,23529|23522|23515,Childhood|Infancy|Neonatal,23410,Autosomal dominant
2571,2834,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2834,Wrinkly skin syndrome,Clinical subtype,Subtype of disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
20170,268173,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=268173,Intermittent maple syrup urine disease,Clinical subtype,Subtype of disorder,23529|23522|23515,Childhood|Infancy|Neonatal,23417,Autosomal recessive
2675,2969,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2969,Proteus-like syndrome,Clinical subtype,Subtype of disorder,23522|23515,Infancy|Neonatal,23410,Autosomal dominant
2674,2964,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2964,Autosomal dominant prognathism,Malformation syndrome,Disorder,23515,Neonatal,23410,Autosomal dominant
2673,2962,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2962,De Barsy syndrome,Disease,Disorder,23508|23522|23515,Antenatal|Infancy|Neonatal,23417,Autosomal recessive
2679,2973,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2973,"46,XX difference of sex development-anorectal anomalies syndrome",Malformation syndrome,Disorder,23515,Neonatal,,
2678,2972,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2972,Non-eruption of teeth-maxillary hypoplasia-genu valgum syndrome,Malformation syndrome,Disorder,23529,Childhood,23487,No data available
2676,750,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=750,Pseudoachondroplasia,Disease,Disorder,23522|23515,Infancy|Neonatal,23410,Autosomal dominant
2682,2976,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2976,"Pseudoleprechaunism syndrome, Patterson type",Malformation syndrome,Disorder,23508|23515,Antenatal|Neonatal,,
2681,2975,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2975,"46,XX difference of sex development-skeletal anomalies syndrome",Malformation syndrome,Disorder,23564,No data available,23480,Unknown
2686,2980,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2980,Acrootoocular syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
2684,2978,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2978,Chronic intestinal pseudoobstruction syndrome,Clinical syndrome,Disorder,23557,All ages,,
2659,2946,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2946,Brachydactyly-long thumb syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23410,Autosomal dominant
2656,1848,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1848,"Renal agenesis, bilateral",Clinical subtype,Subtype of disorder,23508|23515,Antenatal|Neonatal,23417,Autosomal recessive
2663,2951,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2951,Absent thumb-short stature-immunodeficiency syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23480,Unknown
2660,2947,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2947,Triphalangeal thumbs-brachyectrodactyly syndrome,Malformation syndrome,Disorder,23515,Neonatal,23410,Autosomal dominant
20132,264978,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=264978,Drug or radiation exposure-related interstitial lung disease,Particular clinical situation in a disease or syndrome,Disorder,23557,All ages,,
2667,2956,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2956,Acrodysplasia scoliosis,Malformation syndrome,Disorder,23515,Neonatal,,
2664,2952,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2952,"Adducted thumbs-arthrogryposis syndrome, Christian type",Malformation syndrome,Disorder,23515,Neonatal,23417,Autosomal recessive
2670,740,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=740,Hutchinson-Gilford progeria syndrome,Disease,Disorder,23522|23515,Infancy|Neonatal,23410|23417,Autosomal dominant|Autosomal recessive
2671,2959,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2959,Progeria-short stature-pigmented nevi syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23410,Autosomal dominant
2668,2957,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2957,Guttmacher syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23410,Autosomal dominant
2669,2958,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2958,X-linked intellectual disability-dysmorphism-cerebral atrophy syndrome,Malformation syndrome,Disorder,23529,Childhood,23431,X-linked recessive
2641,2924,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2924,Isolated polycystic liver disease,Malformation syndrome,Disorder,23543,Adult,23410|23494,Autosomal dominant|Not applicable
2643,2926,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2926,Digital extensor muscle aplasia-polyneuropathy,Malformation syndrome,Disorder,23515,Neonatal,,
2645,2928,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2928,Polyneuropathy-intellectual disability-acromicria-premature menopause syndrome,Malformation syndrome,Disorder,23543,Adult,,
2646,2930,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2930,Cronkhite-Canada syndrome,Disease,Disorder,23543|23550,Adult|Elderly,23494,Not applicable
2649,2935,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2935,Crossed polysyndactyly,Malformation syndrome,Disorder,23508,Antenatal,23410,Autosomal dominant
2648,2934,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2934,Polysyndactyly-cardiac malformation syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
2655,2941,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2941,Porencephaly-cerebellar hypoplasia-internal malformations syndrome,Malformation syndrome,Disorder,23508|23515,Antenatal|Neonatal,,
2654,2940,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2940,Porencephaly,Disease,Disorder,23508|23522|23515,Antenatal|Infancy|Neonatal,23424|23494,Multigenic/multifactorial|Not applicable
2624,2896,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2896,Pitt-Hopkins syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23410,Autosomal dominant
2625,2899,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2899,Brachyolmia-amelogenesis imperfecta syndrome,Malformation syndrome,Disorder,23529,Childhood,23417,Autosomal recessive
2626,2900,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2900,Leri pleonosteosis,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23410,Autosomal dominant
2627,2905,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2905,POEMS syndrome,Disease,Disorder,23543|23550,Adult|Elderly,23480,Unknown
20100,264450,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=264450,Trisomy 8p syndrome,Malformation syndrome,Disorder,23508|23515,Antenatal|Neonatal,,
2629,2907,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2907,Hereditary acrokeratotic poikiloderma,Disease,Disorder,23522|23515,Infancy|Neonatal,,
2630,2911,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2911,Poland syndrome,Malformation syndrome,Disorder,23508|23522|23515,Antenatal|Infancy|Neonatal,23410|23417|23424|23494,Autosomal dominant|Autosomal recessive|Multigenic/multifactorial|Not applicable
20103,264580,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=264580,Glycogen storage disease due to liver phosphorylase kinase deficiency,Disease,Disorder,23529,Childhood,23417|23431,Autosomal recessive|X-linked recessive
2634,2916,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2916,Postaxial polydactyly-dental and vertebral anomalies syndrome,Malformation syndrome,Disorder,23515,Neonatal,,
2635,2917,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2917,Polydactyly-myopia syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23410,Autosomal dominant
2637,2919,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2919,Orofaciodigital syndrome type 5,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
20108,264675,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=264675,Hereditary pulmonary alveolar proteinosis,Disease,Disorder,23536|23543|23529|23550|23522,Adolescent|Adult|Childhood|Elderly|Infancy,23417,Autosomal recessive
2638,2920,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2920,Oliver syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
20111,264691,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=264691,Isolated pulmonary capillaritis,Disease,Disorder,23529,Childhood,23494,Not applicable
2639,2921,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2921,Preaxial polydactyly-colobomata-intellectual disability syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
20110,264688,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=264688,Congenital chylothorax,Disease,Disorder,23522|23515,Infancy|Neonatal,23494|23480,Not applicable|Unknown
2989,3374,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=3374,Unilateral ocular duplication,Morphological anomaly,Disorder,23515,Neonatal,23410,Autosomal dominant
20332,275803,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=275803,Pulmonary arterial hypertension associated with congenital heart disease,Clinical group,Group of disorders,23557,All ages,23494,Not applicable
20333,275808,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=275808,Pulmonary arterial hypertension associated with HIV infection,Clinical group,Group of disorders,23543,Adult,23494,Not applicable
20334,275813,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=275813,Pulmonary arterial hypertension associated with portal hypertension,Clinical group,Group of disorders,23543,Adult,23487,No data available
2991,1717,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1717,Distal duplication 19q syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,,
2990,3377,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=3377,Trismus-pseudocamptodactyly syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23410,Autosomal dominant
20335,275823,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=275823,Pulmonary arterial hypertension associated with schistosomiasis,Clinical group,Group of disorders,23557,All ages,23494,Not applicable
2985,3368,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=3368,Trigonocephaly-bifid nose-acral anomalies syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23480,Unknown
20328,275777,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=275777,Heritable pulmonary arterial hypertension,Etiological subtype,Subtype of disorder,23557,All ages,23410|23417,Autosomal dominant|Autosomal recessive
20329,275786,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=275786,Drug- or toxin-induced pulmonary arterial hypertension,Clinical group,Group of disorders,23536|23543|23529|23550,Adolescent|Adult|Childhood|Elderly,23424,Multigenic/multifactorial
20330,275791,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=275791,Pulmonary arterial hypertension associated with another disease,Category,Group of disorders,23557,All ages,23494,Not applicable
2986,3369,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=3369,Trigonocephaly-short stature-developmental delay syndrome,Malformation syndrome,Disorder,23564,No data available,23480,Unknown
20331,275798,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=275798,Pulmonary arterial hypertension associated with connective tissue disease,Clinical group,Group of disorders,23557,All ages,23494,Not applicable
2981,3363,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=3363,Trichomegaly-retina pigmentary degeneration-dwarfism syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
20326,275761,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=275761,Lysosomal acid lipase deficiency,Disease,Disorder,23536|23543|23529|23522|23515,Adolescent|Adult|Childhood|Infancy|Neonatal,23417,Autosomal recessive
2983,3366,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=3366,Non-syndromic metopic craniosynostosis,Morphological anomaly,Disorder,23522|23515,Infancy|Neonatal,23410|23494,Autosomal dominant|Not applicable
2982,3365,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=3365,Trigonocephaly-broad thumbs syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23410,Autosomal dominant
20327,275766,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=275766,Idiopathic pulmonary arterial hypertension,Etiological subtype,Subtype of disorder,23557,All ages,23494,Not applicable
2979,3361,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=3361,Trichodysplasia-xeroderma syndrome,Malformation syndrome,Disorder,23515,Neonatal,,
3004,3408,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=3408,Upington disease,Malformation syndrome,Disorder,23564,No data available,23410,Autosomal dominant
20349,276148,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=276148,Benign epithelial tumor of salivary glands,Disease,Disorder,,,23494,Not applicable
3005,3409,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=3409,Urban-Rogers-Meyer syndrome,Malformation syndrome,Disorder,23522,Infancy,,
20348,276145,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=276145,Malignant epithelial tumor of salivary glands,Disease,Disorder,23543,Adult,23494,Not applicable
20351,276161,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=276161,Multiple endocrine neoplasia,Clinical group,Group of disorders,23557,All ages,23410|23494,Autosomal dominant|Not applicable
3007,3412,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=3412,VACTERL with hydrocephalus,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23417|23431,Autosomal recessive|X-linked recessive
20350,276152,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=276152,Multiple endocrine neoplasia type 4,Disease,Disorder,23543,Adult,23410|23494,Autosomal dominant|Not applicable
3001,3403,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=3403,Uhl anomaly,Morphological anomaly,Disorder,23522|23515,Infancy|Neonatal,23494,Not applicable
3002,3404,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=3404,Ulbright-Hodes syndrome,Malformation syndrome,Disorder,23515,Neonatal,23417,Autosomal recessive
20346,276066,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=276066,Bile acid CoA ligase deficiency and defective amidation,Disease,Disorder,23522|23515,Infancy|Neonatal,23480,Unknown
20341,275872,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=275872,Frontotemporal dementia with motor neuron disease,Disease,Disorder,23543,Adult,23410,Autosomal dominant
2996,3383,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=3383,Humerus trochlea aplasia,Malformation syndrome,Disorder,23515,Neonatal,,
