,VEC_DIM,PMD,CMBZ,GS,DIST_A,DIST_B,DIST_C,CONFIG_TIME,COMPUTE_TIME
16654,10000.0,13.0,"[60, 40, 60]",30.0,2.2140520300238782e-06,2.1848860766552756e-06,0.9992290358353694,0.23094677925109863,0.08564639091491699
16655,10000.0,13.0,"[60, 40, 60]",40.0,2.1533598496803245e-09,2.1518979798456573e-09,3.8280049106408127e-07,0.30807924270629883,0.1007084846496582
16656,10000.0,14.0,"[60, 30, 60]",20.0,0.004509193100735608,0.004462195285704219,1.4204700491598128,0.5837011337280273,0.1803264617919922
16657,10000.0,14.0,"[60, 30, 60]",30.0,4.427436042182799e-06,4.404619613670263e-06,0.0005867173011401165,0.5771999359130859,0.15566420555114746
16658,10000.0,14.0,"[60, 30, 60]",40.0,4.2490605114431926e-09,4.29825221870259e-09,1023.0937561189235,0.5246078968048096,0.14022564888000488
16659,10000.0,14.0,"[60, 40, 60]",20.0,0.004450135051084838,0.004509710101694585,0.3899795742445704,0.41692495346069336,0.12785577774047852
16660,10000.0,14.0,"[60, 40, 60]",30.0,4.394557991762557e-06,4.383192371158852e-06,0.9970484239128308,0.4305245876312256,0.13181447982788086
16661,10000.0,14.0,"[60, 40, 60]",40.0,4.196804067004582e-09,4.213696937724511e-09,1.5455655375656336e-07,0.4290194511413574,0.12637805938720703
16662,10000.0,15.0,"[60, 30, 60]",20.0,0.008950673858827984,0.00901319050037393,1.713830438975136,0.8249590396881104,0.25410938262939453
16663,10000.0,15.0,"[60, 30, 60]",30.0,8.79032863509865e-06,8.724987648062863e-06,0.002088627939080673,0.8764352798461914,0.25447869300842285
16664,10000.0,15.0,"[60, 30, 60]",40.0,8.658867077872703e-09,8.639185797523804e-09,1023.2500750877327,0.7887566089630127,0.25662708282470703
16665,10000.0,15.0,"[60, 40, 60]",20.0,0.008950534250591356,0.008813232257111952,0.11716616033569312,0.8208308219909668,0.2607448101043701
